05/12 16:45:39:627	touchX: 624 touchY: 227
05/12 16:45:39:631	touchX: 623 touchY: 219
05/12 16:45:39:639	touchX: 623 touchY: 209
05/12 16:45:39:647	touchX: 624 touchY: 197
05/12 16:45:39:654	touchX: 626 touchY: 183
05/12 16:45:39:667	touchX: 629 touchY: 166
05/12 16:45:39:679	touchX: 633 touchY: 148
05/12 16:45:39:688	touchX: 638 touchY: 129
05/12 16:45:39:695	touchX: 644 touchY: 109
05/12 16:45:39:710	touchX: 644 touchY: 109
05/12 16:45:40:650	touchX: 827 touchY: 272
05/12 16:45:40:657	touchX: 823 touchY: 271
05/12 16:45:40:673	touchX: 814 touchY: 270
05/12 16:45:40:677	touchX: 799 touchY: 268
05/12 16:45:40:692	touchX: 781 touchY: 265
05/12 16:45:40:701	touchX: 759 touchY: 263
05/12 16:45:40:710	touchX: 735 touchY: 262
05/12 16:45:40:718	touchX: 709 touchY: 263
05/12 16:45:40:731	touchX: 681 touchY: 264
05/12 16:45:40:738	touchX: 651 touchY: 268
05/12 16:45:40:752	touchX: 651 touchY: 268
05/12 16:45:41:706	touchX: 893 touchY: 303
05/12 16:45:41:713	touchX: 894 touchY: 279
05/12 16:45:41:726	touchX: 897 touchY: 257
05/12 16:45:41:733	touchX: 899 touchY: 234
05/12 16:45:41:748	touchX: 900 touchY: 213
05/12 16:45:41:754	touchX: 900 touchY: 191
05/12 16:45:41:766	touchX: 899 touchY: 173
05/12 16:45:41:774	touchX: 899 touchY: 155
05/12 16:45:41:786	touchX: 899 touchY: 139
05/12 16:45:41:794	touchX: 901 touchY: 120
05/12 16:45:41:808	touchX: 901 touchY: 120
05/12 16:45:57:930	touchX: 1251 touchY: 211
05/12 16:45:57:942	touchX: 1254 touchY: 209
05/12 16:45:57:942	touchX: 1254 touchY: 209
05/12 16:45:57:942	touchX: 1255 touchY: 205
05/12 16:45:57:946	touchX: 1256 touchY: 201
05/12 16:45:57:959	touchX: 1256 touchY: 198
05/12 16:45:57:971	touchX: 1256 touchY: 195
05/12 16:45:57:980	touchX: 1255 touchY: 192
05/12 16:45:57:987	touchX: 1255 touchY: 188
05/12 16:45:57:992	touchX: 1254 touchY: 183
05/12 16:45:58:011	touchX: 1252 touchY: 177
05/12 16:45:58:021	touchX: 1251 touchY: 169
05/12 16:45:58:029	touchX: 1248 touchY: 159
05/12 16:45:58:041	touchX: 1246 touchY: 148
05/12 16:45:58:049	touchX: 1244 touchY: 135
05/12 16:45:58:060	touchX: 1243 touchY: 120
05/12 16:45:58:074	touchX: 1243 touchY: 105
05/12 16:45:58:084	touchX: 1242 touchY: 90
05/12 16:45:58:096	touchX: 1242 touchY: 90
05/12 16:45:59:005	touchX: 1051 touchY: 267
05/12 16:45:59:012	touchX: 1054 touchY: 265
05/12 16:45:59:025	touchX: 1054 touchY: 265
05/12 16:45:59:033	touchX: 1055 touchY: 259
05/12 16:45:59:045	touchX: 1057 touchY: 250
05/12 16:45:59:054	touchX: 1059 touchY: 237
05/12 16:45:59:065	touchX: 1061 touchY: 220
05/12 16:45:59:073	touchX: 1065 touchY: 200
05/12 16:45:59:088	touchX: 1070 touchY: 177
